Data,Mandante,Hor/Res,Visitante,Liga,Mandante URL,Visitante URL,Fase,Unnamed: 6,Torneio,Campo,0,Temporada
2026-07-11 00:00:00,Porto Velho Miners,00:00:0000:00,São Raimundo C. Cavaliers,Superliga D1,https://www.salaooval.com.br/equipe/porto-velho-miners/,http://www.salaooval.com.br/times/manaus-cavaliers/,,,superliga-2026,,,
2026-07-11 00:00:00,Tubarões do Cerrado,24 - 00,Goiás FA,Superliga D1,https://www.salaooval.com.br/equipe/tubaroes-do-cerrado/,https://www.salaooval.com.br/equipe/goias-fa/,,,superliga-2026,,,
2026-07-18 00:00:00,Brown Spiders,00:00:0000:00,Londrina Bristlebacks,Superliga D1,http://www.salaooval.com.br/times/brown-spiders/,http://www.salaooval.com.br/times/londrina-bristlebacks,,,superliga-2026,,,
2026-07-18 09:00:00,Bravos FA,25 - 26,Santa Maria Soldiers,Superliga D1,https://www.salaooval.com.br/equipe/bravos-fa/,http://www.salaooval.com.br/times/santa-maria-soldiers,,,superliga-2026,,,
2026-07-18 10:00:00,Curitiba Phoenix,06 - 18,Brasília Pilots,Superliga Feminina,https://www.salaooval.com.br/equipe/curitiba-phoenix/,https://www.salaooval.com.br/equipe/brasilia-pilots/,,,superliga-2026,,,
2026-07-18 10:00:00,Erechim Coroados,28 - 07,Bears FA,Superliga D2,https://www.salaooval.com.br/equipe/erechim-coroados/,https://www.salaooval.com.br/equipe/bears-fa/,,,superliga-2026,,,
2026-07-18 10:00:00,Chape FA,00 - 32,Cascavel Olympians,Superliga D2,https://www.salaooval.com.br/equipe/chape-fa/,https://www.salaooval.com.br/equipe/cascavel-olympians/,,,superliga-2026,,,
2026-07-18 10:00:00,Vikings FA,40 - 10,Corinthians Steamrollers,Superliga D2,https://www.salaooval.com.br/equipe/vikings-fa/,http://www.salaooval.com.br/times/corinthians-steamrollers/,,,superliga-2026,,,
2026-07-18 11:00:00,Lusa Jaguars,00 - 26,Curitiba Silverhawks,Superliga Feminina,https://www.salaooval.com.br/equipe/lusa-jaguars/,https://www.salaooval.com.br/equipe/curitiba-silverhawks/,,,superliga-2026,,,
2026-07-18 14:00:00,João Pessoa Espectros,11 - 28,Recife Mariners,Superliga D1,http://www.salaooval.com.br/times/joao-pessoa-espectros/,http://www.salaooval.com.br/times/recife-mariners/,,,superliga-2026,,,
2026-07-18 14:00:00,Ocelots FA,54 - 00,Flamengo Imperadores,Superliga D1,http://www.salaooval.com.br/times/ocelots-fa,http://www.salaooval.com.br/times/flamengo-imperadores/,,,superliga-2026,,,
2026-07-18 14:00:00,Guarulhos Rhynos,30 - 14,Vasco Almirantes,Superliga D1,https://www.salaooval.com.br/times/Guarulhos-Rhynos/,http://www.salaooval.com.br/times/vasco-almirantes/,,,superliga-2026,,,
